	logFC	logCPM	LR	PValue	FDR
YMR116C	-4.75640946631739	10.5496181654318	886.103928886895	1.0296405418967e-194	1.73035267284153e-192
YBL075C	4.98446115663685	10.2273211759114	880.830407166967	1.44247930143388e-193	2.36035165692522e-191
YDR508C	-4.74174360517257	7.85287735134194	877.224566134706	8.76994284167857e-193	1.39824370742455e-190
YBR294W	4.53462044149639	8.8852020955047	870.735521005726	2.25779029720232e-191	3.50973501700101e-189
YBR105C	3.68913584589783	8.75175059445127	868.733012743845	6.15207429120489e-191	9.33014583968586e-189
YPR160W	4.07884820283099	7.40587120439056	864.994388829026	3.99749388983042e-190	5.91819452546799e-188
YOR338W	4.4585618774766	7.61005275992606	855.343626058082	5.01019949155148e-188	7.24498149731794e-186
YIL160C	3.46271217842035	6.75396805558895	830.300708008795	1.39409690113998e-182	1.94520317056059e-180
YOR348C	6.5908567613767	8.25585362590622	830.281234023663	1.40775398319759e-182	1.94520317056059e-180
YCL036W	-3.16661984014366	6.17083236951299	828.474984220476	3.47712820500751e-182	4.7001702562471e-180
YML056C	-4.34692436870713	9.365237158852	825.394873816735	1.62504372651241e-181	2.14989827477748e-179
YBR189W	-3.61243490425151	10.6649544998806	818.682537777685	4.67949658574304e-180	6.06189786878129e-178
YGR043C	4.91828040627924	7.89918711189824	816.295738279376	1.54567619292576e-179	1.96143154441069e-177
YOL084W	5.01149456436054	7.50149324313254	815.317545398477	2.52226166354483e-179	3.13668460478435e-177
YMR081C	3.25588625391244	6.79488101095165	810.476029849237	2.84709544569899e-178	3.47122342771692e-176
YDL085W	4.41667803065053	6.49051274765099	807.594715828982	1.2046000295906e-177	1.44042365076815e-175
YOL162W	5.19905020595334	5.5776589206964	804.802637606873	4.87399564253226e-177	5.71820847269162e-175
YJR123W	-3.05360583572674	11.1897911669804	794.278162507073	9.4644884440496e-175	1.08981831750186e-172
YHR176W	3.79551276464833	7.05493566336861	788.964367739053	1.35340250210799e-173	1.53008304692864e-171
YOR173W	4.30526032928776	7.36304460734863	786.130722446404	5.59145160931541e-173	6.20850823334343e-171
YDL210W	4.56600820318825	7.51573373070437	780.490167899995	9.41705543438039e-172	1.02728509984171e-169
YGL055W	2.98836662275179	11.928350422764	777.762506470518	3.68958532393968e-171	3.95548992142361e-169
YAL061W	4.02495288309643	7.59014182367106	773.296635646376	3.45124923333646e-170	3.63726571743832e-168
