	x
402	YAL063C
403	YJR036C
404	YGR244C
405	YPR149W
406	YPL247C
407	YKL197C
408	YNL305C
409	YDR421W
410	YPR049C
411	YDL110C
412	YNL234W
413	YBR235W
414	YJL101C
415	YMR175W
416	YFR053C
417	YJL161W
418	YKL171W
419	YOR378W
420	YOR054C
421	YAL030W
422	YPR158W
423	YOL136C
424	YFL033C
425	YAL028W
426	YIR007W
427	YOR292C
428	YJL036W
429	YHR106W
430	YPL154C
431	YHR209W
432	YER062C
433	YBL029C-A
434	YOL048C
435	YGR174C
436	YOR178C
437	YGR121C
438	YOR230W
439	YLL026W
440	YMR133W
441	YGR180C
442	YLL012W
443	YDR202C
444	YDR255C
445	YOL151W
446	YLR254C
447	YHR113W
448	YBR287W
449	YDR345C
450	YOR035C
451	YDR090C
452	YAL060W
453	YLR177W
454	YGL141W
455	YJL172W
456	YHR104W
457	YMR077C
458	YGR052W
459	YMR304W
460	YPL026C
461	YMR165C
462	YGL205W
463	YKL202W
464	YER162C
465	YHR140W
466	YER033C
467	YOR226C
468	YOR005C
469	YER061C
470	YBR001C
471	YOR137C
472	YDR104C
473	YML100W
474	YHR037W
475	YDR516C
476	YKL148C
477	YMR271C
478	YHR016C
479	YDR369C
480	YDL200C
481	YDL124W
482	YOR245C
483	YOR152C
484	YKL168C
485	YPL170W
486	YNL013C
487	YIL168W
488	YIR017C
489	YAL017W
490	YKL142W
491	YBR285W
492	YIL024C
493	YDR074W
494	YLR324W
495	YOL016C
496	YGL087C
497	YOR052C
498	YKL103C
499	YFR014C
500	YLR023C
501	YBR295W
502	YPR081C
503	YJL141C
504	YJR039W
505	YOL138C
506	YDR391C
507	YGR258C
508	YPL024W
509	YLL039C
510	YNL036W
511	YNL063W
512	YHR008C
513	YOL025W
514	YDR148C
515	YOR027W
516	YGL209W
517	YLR219W
518	YNL183C
519	YHR087W
520	YBR149W
521	YDL138W
522	YDR096W
523	YBL033C
524	YHR102W
525	YNL237W
526	YKL218C
527	YMR284W
528	YJR078W
529	YDL020C
530	YBR116C
531	YMR135C
532	YPR006C
533	YPL052W
534	YJL185C
535	YFL014W
536	YBR108W
537	YER169W
538	YIR018W
539	YBR183W
540	YNR014W
541	YGL006W
542	YOL032W
543	YPL277C
544	YJL082W
545	YCL035C
546	YLR054C
547	YOR186W
548	YGR110W
549	YLL019C
550	YKR046C
551	YDL234C
552	YNL037C
553	YNL144C
554	YMR255W
555	YDR089W
556	YHR028C
557	YIR037W
558	YDR481C
559	YGR236C
560	YJL149W
561	YGR130C
562	YKL198C
563	YKL193C
564	YNL040W
565	YPL107W
566	YMR086W
567	YJL052W
568	YMR160W
569	YDL171C
570	YPR035W
571	YMR173W-A
572	YGL104C
573	YHL008C
574	YPL057C
575	YEL020C
576	YKR021W
577	YPR193C
578	YOR227W
579	YMR302C
580	YDR287W
581	YOR020W-A
582	YFR029W
583	YNL125C
584	YJL070C
585	YJL042W
586	YNR034W
587	YIL156W
588	YLR225C
589	YNL160W
590	YGR055W
591	YEL030W
592	YJR019C
593	YER143W
594	YMR195W
595	YOL117W
596	YBR212W
597	YGL208W
598	YJL137C
599	YER101C
600	YCL049C
601	YPR172W
602	YMR139W
603	YPL202C
604	YJR033C
605	YDR254W
606	YOL019W
607	YDL027C
608	YAL005C
609	YEL024W
610	YJR138W
611	YMR173W
612	YNL208W
613	YKL187C
614	YLR273C
615	YGR023W
616	YLR284C
617	YBL095W
618	YKR066C
619	YKL217W
620	YLR118C
621	YMR278W
622	YNL101W
623	YLR258W
624	YDL023C
625	YJR051W
626	YHR056C
627	YPL070W
628	YCL040W
629	YLR256W
630	YGR143W
631	YGR028W
632	YPL280W
633	YNL007C
634	YDR122W
635	YDR297W
636	YBR053C
637	YIL122W
638	YDL243C
639	YOL100W
640	YNR047W
641	YDL022W
642	YMR206W
643	YNL173C
644	YLR425W
645	YOR363C
646	YDR069C
647	YCL026C-B
648	YIL113W
649	YDR330W
650	YNL156C
651	YJL084C
652	YDR505C
653	YPR065W
654	YLR097C
655	YMR031C
656	YKL093W
657	YIL135C
658	YPL250C
659	YDR003W
660	YNR001C
661	YGR008C
662	YLR056W
663	YKR096W
664	YMR315W
665	YLR346C
666	YNL127W
667	YCR069W
668	YER103W
669	YCL067C
670	YCR039C
671	YHL009W-B
672	YKR018C
673	YFL044C
674	YMR140W
675	YOR267C
676	YLR189C
677	YBR225W
678	YNL092W
679	YKL150W
680	YKL121W
681	YDR171W
682	YNL250W
683	YNL336W
684	YHL047C
685	YJR005C-A
686	YMR154C
687	YOR360C
688	YDR178W
689	YKL129C
690	YBR085C-A
691	YOL087C
692	YDL194W
693	YFR052C-A
694	YDR258C
695	YOR107W
696	YGR127W
697	YIR017W-A
698	YMR030W
699	YML120C
700	YKL109W
701	YNL314W
702	YIL007C
703	YDR379W
704	YLR005W
705	YHR139C
706	YCL033C
707	YCL052C
708	YOL060C
709	YPR115W
710	YGR239C
711	YDL035C
712	YDR032C
713	YGR053C
714	YKL086W
715	YIL071W-A
716	YDL206W
717	YKL141W
718	YPR008W
719	YDR275W
720	YGR146C
721	YGR255C
722	YNL239W
723	YOR053W
724	YGL250W
725	YMR134W
726	YER046W
727	YBR101C
728	YBL015W
729	YDR186C
730	YPR185W
731	YOR337W
732	YKR055W
733	YOR058C
734	YDR099W
735	YKL065C
736	YOR382W
737	YGR067C
738	YNL241C
739	YJR151C
740	YMR297W
741	YCR091W
742	YDR293C
743	YNL055C
744	YJR149W
745	YKL043W
746	YIR016W
747	YGR289C
748	YBR062C
749	YLR251W
750	YBL093C
751	YPL240C
752	YCR026C
753	YBR052C
754	YOR386W
755	YKL100C
756	YPR127W
757	YGR250C
758	YJR119C
759	YOR100C
760	YDR423C
761	YGR044C
762	YGL005C
763	YDR281C
764	YGR237C
765	YJL066C
766	YHR195W
767	YHR082C
768	YIR036C
769	YDL115C
770	YLL028W
771	YPL111W
772	YBR024W
773	YDR270W
774	YDL019C
775	YER182W
776	YLR454W
777	YKL105C
778	YJL116C
779	YKL068W-A
780	YOR134W
781	YLR119W
782	YLR070C
783	YIL125W
784	YJR011C
785	YLR031W
786	YOL044W
787	YGL037C
788	YOR391C
789	YGR097W
790	YBR204C
791	YER121W
792	YOR328W
793	YLR211C
794	YIL042C
795	YHR054C
796	YFR019W
797	YLR109W
798	YOR059C
799	YOR044W
800	YLR248W
801	YML130C
802	YKL064W
803	YHR146W
804	YBR132C
805	YPL166W
806	YKR091W
807	YGR144W
808	YKL085W
809	YML070W
810	YJL142C
811	YMR071C
812	YMR004W
813	YLR247C
814	YPL135W
815	YGL197W
816	YLR138W
817	YBR293W
818	YFL002W-A
819	YGR161W-B
820	YER020W
821	YGL140C
822	YKR031C
823	YJL005W
824	YJR035W
825	YOR135C
826	YLR151C
827	YDR512C
828	YMR068W
829	YJL048C
830	YCL027W
831	YER098W
832	YDR315C
833	YJL102W
834	YKL095W
835	YHL023C
836	YER039C
837	YDL130W-A
838	YKL157W
839	YMR040W
840	YLR136C
841	YCL019W
842	YCR079W
843	YGR243W
844	YOR192C-B
845	YIR039C
846	YDL046W
847	YJR091C
848	YJR103W
849	YDR272W
850	YPL031C
851	YJR059W
852	YIR025W
853	YHR101C
854	YLR030W
855	YCL034W
856	YPR093C
857	YOR379C
858	YLR304C
